age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_strk,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,1.0704864587634972e-6,6.979771388210714e-5,0,2.8724745652629127e-5,6598,Strk,0,10,0,0,0,5,female_Strk
1,female,1.0704864587634972e-6,6.979771388210714e-5,0,2.8724745652629127e-5,6598,Strk,0,10,0,0,0,5,female_Strk
2,female,1.0704864587634972e-6,6.979771388210714e-5,0,2.8724745652629127e-5,6598,Strk,0,10,0,0,0,5,female_Strk
3,female,1.0704864587634972e-6,6.979771388210714e-5,0,2.8724745652629127e-5,6598,Strk,0,10,0,0,0,5,female_Strk
4,female,1.0704864587634972e-6,6.979771388210714e-5,0,2.8724745652629127e-5,6598,Strk,0,10,0,0,0,5,female_Strk
5,female,3.531430829588868e-7,6.17201282854553e-5,1.9448111477074338e-4,8.208066803751678e-5,6603,Strk,0,10,5,0,0,5,female_Strk
6,female,3.531430829588868e-7,6.17201282854553e-5,1.9448111477074338e-4,8.208066803751678e-5,6603,Strk,0,10,5,0,0,5,female_Strk
7,female,3.531430829588868e-7,6.17201282854553e-5,1.9448111477074338e-4,8.208066803751678e-5,6603,Strk,0,10,5,0,0,5,female_Strk
8,female,3.531430829588868e-7,6.17201282854553e-5,1.9448111477074338e-4,8.208066803751678e-5,6603,Strk,0,10,5,0,0,5,female_Strk
9,female,3.531430829588868e-7,6.17201282854553e-5,1.9448111477074338e-4,8.208066803751678e-5,6603,Strk,0,10,5,0,0,5,female_Strk
10,female,7.771336155210292e-7,5.644226369602504e-5,3.634423272290824e-4,1.3184321184032125e-4,6051,Strk,0,50,10,0,0,5,female_Strk
11,female,7.771336155210292e-7,5.644226369602504e-5,3.634423272290824e-4,1.3184321184032125e-4,6051,Strk,0,50,10,0,0,5,female_Strk
12,female,7.771336155210292e-7,5.644226369602504e-5,3.634423272290824e-4,1.3184321184032125e-4,6051,Strk,0,50,10,0,0,5,female_Strk
13,female,7.771336155210292e-7,5.644226369602504e-5,3.634423272290824e-4,1.3184321184032125e-4,6051,Strk,0,50,10,0,0,5,female_Strk
14,female,7.771336155210292e-7,5.644226369602504e-5,3.634423272290824e-4,1.3184321184032125e-4,6051,Strk,0,50,10,0,0,5,female_Strk
15,female,2.4915883370640843e-6,5.297329390304025e-5,7.259813979957496e-4,1.7783379707699186e-4,6338,Strk,0,50,15,0,0,5,female_Strk
16,female,2.4915883370640843e-6,5.297329390304025e-5,7.259813979957496e-4,1.7783379707699186e-4,6338,Strk,0,50,15,0,0,5,female_Strk
17,female,2.4915883370640843e-6,5.297329390304025e-5,7.259813979957496e-4,1.7783379707699186e-4,6338,Strk,0,50,15,0,0,5,female_Strk
18,female,2.4915883370640843e-6,5.297329390304025e-5,7.259813979957496e-4,1.7783379707699186e-4,6338,Strk,0,50,15,0,0,5,female_Strk
19,female,2.4915883370640843e-6,5.297329390304025e-5,7.259813979957496e-4,1.7783379707699186e-4,6338,Strk,0,50,15,0,0,5,female_Strk
20,female,4.048702522733621e-6,6.780257310970703e-5,0.0010149971397728683,2.2900379923042346e-4,7828,Strk,0,50,20,0,0,5,female_Strk
21,female,4.048702522733621e-6,6.780257310970703e-5,0.0010149971397728683,2.2900379923042346e-4,7828,Strk,0,50,20,0,0,5,female_Strk
22,female,4.048702522733621e-6,6.780257310970703e-5,0.0010149971397728683,2.2900379923042346e-4,7828,Strk,0,50,20,0,0,5,female_Strk
23,female,4.048702522733621e-6,6.780257310970703e-5,0.0010149971397728683,2.2900379923042346e-4,7828,Strk,0,50,20,0,0,5,female_Strk
24,female,4.048702522733621e-6,6.780257310970703e-5,0.0010149971397728683,2.2900379923042346e-4,7828,Strk,0,50,20,0,0,5,female_Strk
25,female,6.204216077580821e-6,1.0104781486064844e-4,0.001406746836205064,2.9536361165554597e-4,8833,Strk,0,50,25,0,0,5,female_Strk
26,female,6.204216077580821e-6,1.0104781486064844e-4,0.001406746836205064,2.9536361165554597e-4,8833,Strk,0,50,25,0,0,5,female_Strk
27,female,6.204216077580821e-6,1.0104781486064844e-4,0.001406746836205064,2.9536361165554597e-4,8833,Strk,0,50,25,0,0,5,female_Strk
28,female,6.204216077580821e-6,1.0104781486064844e-4,0.001406746836205064,2.9536361165554597e-4,8833,Strk,0,50,25,0,0,5,female_Strk
29,female,6.204216077580821e-6,1.0104781486064844e-4,0.001406746836205064,2.9536361165554597e-4,8833,Strk,0,50,25,0,0,5,female_Strk
30,female,1.1134431896215234e-5,1.8895381477498517e-4,0.002285237237311384,3.801926916813683e-4,7963,Strk,0,50,30,0,0,5,female_Strk
31,female,1.1134431896215234e-5,1.8895381477498517e-4,0.002285237237311384,3.801926916813683e-4,7963,Strk,0,50,30,0,0,5,female_Strk
32,female,1.1134431896215234e-5,1.8895381477498517e-4,0.002285237237311384,3.801926916813683e-4,7963,Strk,0,50,30,0,0,5,female_Strk
33,female,1.1134431896215234e-5,1.8895381477498517e-4,0.002285237237311384,3.801926916813683e-4,7963,Strk,0,50,30,0,0,5,female_Strk
34,female,1.1134431896215234e-5,1.8895381477498517e-4,0.002285237237311384,3.801926916813683e-4,7963,Strk,0,50,30,0,0,5,female_Strk
35,female,2.167393240865356e-5,3.3192149314214045e-4,0.0038033963863435168,5.422709663787691e-4,7482,Strk,0,50,35,0,0,5,female_Strk
36,female,2.167393240865356e-5,3.3192149314214045e-4,0.0038033963863435168,5.422709663787691e-4,7482,Strk,0,50,35,0,0,5,female_Strk
37,female,2.167393240865356e-5,3.3192149314214045e-4,0.0038033963863435168,5.422709663787691e-4,7482,Strk,0,50,35,0,0,5,female_Strk
38,female,2.167393240865356e-5,3.3192149314214045e-4,0.0038033963863435168,5.422709663787691e-4,7482,Strk,0,50,35,0,0,5,female_Strk
39,female,2.167393240865356e-5,3.3192149314214045e-4,0.0038033963863435168,5.422709663787691e-4,7482,Strk,0,50,35,0,0,5,female_Strk
40,female,3.592021618675255e-5,5.294149486987642e-4,0.005916113671837798,7.92205498057891e-4,6901,Strk,0,50,40,0,0,5,female_Strk
41,female,3.592021618675255e-5,5.294149486987642e-4,0.005916113671837798,7.92205498057891e-4,6901,Strk,0,50,40,0,0,5,female_Strk
