age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_dmt2,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,female,0,1e-8,0,0,6598,dmt2,0,10,0,0,0,5
1,female,0,1e-8,0,0,6598,dmt2,0,10,0,0,0,5
2,female,0,1e-8,0,0,6598,dmt2,0,10,0,0,0,5
3,female,0,1e-8,0,0,6598,dmt2,0,10,0,0,0,5
4,female,0,1e-8,0,0,6598,dmt2,0,10,0,0,0,5
5,female,0,1e-8,0,0,6603,dmt2,0,10,5,0,0,5
6,female,0,1e-8,0,0,6603,dmt2,0,10,5,0,0,5
7,female,0,1e-8,0,0,6603,dmt2,0,10,5,0,0,5
8,female,0,1e-8,0,0,6603,dmt2,0,10,5,0,0,5
9,female,0,1e-8,0,0,6603,dmt2,0,10,5,0,0,5
10,female,0.003106479792087195,0.0015980401356361746,0,1.544159364767331e-4,6051,dmt2,0,50,10,0,0,5
11,female,0.003106479792087195,0.0015980401356361746,0,1.544159364767331e-4,6051,dmt2,0,50,10,0,0,5
12,female,0.003106479792087195,0.0015980401356361746,0,1.544159364767331e-4,6051,dmt2,0,50,10,0,0,5
13,female,0.003106479792087195,0.0015980401356361746,0,1.544159364767331e-4,6051,dmt2,0,50,10,0,0,5
14,female,0.003106479792087195,0.0015980401356361746,0,1.544159364767331e-4,6051,dmt2,0,50,10,0,0,5
15,female,0.01593898056154503,0.002832610083620229,1.4294712248771454e-7,8.339069275399328e-4,6338,dmt2,0,50,15,1,0,5
16,female,0.01593898056154503,0.002832610083620229,1.4294712248771454e-7,8.339069275399328e-4,6338,dmt2,0,50,15,1,0,5
17,female,0.01593898056154503,0.002832610083620229,1.4294712248771454e-7,8.339069275399328e-4,6338,dmt2,0,50,15,1,0,5
18,female,0.01593898056154503,0.002832610083620229,1.4294712248771454e-7,8.339069275399328e-4,6338,dmt2,0,50,15,1,0,5
19,female,0.01593898056154503,0.002832610083620229,1.4294712248771454e-7,8.339069275399328e-4,6338,dmt2,0,50,15,1,0,5
20,female,0.027452513741081958,0.001884674203376888,1.3640062593215218e-7,0.001517472529078957,7828,dmt2,0,50,20,1,0,5
21,female,0.027452513741081958,0.001884674203376888,1.3640062593215218e-7,0.001517472529078957,7828,dmt2,0,50,20,1,0,5
22,female,0.027452513741081958,0.001884674203376888,1.3640062593215218e-7,0.001517472529078957,7828,dmt2,0,50,20,1,0,5
23,female,0.027452513741081958,0.001884674203376888,1.3640062593215218e-7,0.001517472529078957,7828,dmt2,0,50,20,1,0,5
24,female,0.027452513741081958,0.001884674203376888,1.3640062593215218e-7,0.001517472529078957,7828,dmt2,0,50,20,1,0,5
25,female,0.03310685578144972,7.366706660818242e-4,2.1045998113532863e-7,0.0019286254281979812,8833,dmt2,0,50,25,2,0,5
26,female,0.03310685578144972,7.366706660818242e-4,2.1045998113532863e-7,0.0019286254281979812,8833,dmt2,0,50,25,2,0,5
27,female,0.03310685578144972,7.366706660818242e-4,2.1045998113532863e-7,0.0019286254281979812,8833,dmt2,0,50,25,2,0,5
28,female,0.03310685578144972,7.366706660818242e-4,2.1045998113532863e-7,0.0019286254281979812,8833,dmt2,0,50,25,2,0,5
29,female,0.03310685578144972,7.366706660818242e-4,2.1045998113532863e-7,0.0019286254281979812,8833,dmt2,0,50,25,2,0,5
30,female,0.03535761248156243,6.527428016194045e-4,5.647648653336579e-7,0.0021556848893897005,7963,dmt2,0,50,30,2,0,5
31,female,0.03535761248156243,6.527428016194045e-4,5.647648653336579e-7,0.0021556848893897005,7963,dmt2,0,50,30,2,0,5
32,female,0.03535761248156243,6.527428016194045e-4,5.647648653336579e-7,0.0021556848893897005,7963,dmt2,0,50,30,2,0,5
33,female,0.03535761248156243,6.527428016194045e-4,5.647648653336579e-7,0.0021556848893897005,7963,dmt2,0,50,30,2,0,5
34,female,0.03535761248156243,6.527428016194045e-4,5.647648653336579e-7,0.0021556848893897005,7963,dmt2,0,50,30,2,0,5
35,female,0.037730016519151276,9.075044945458354e-4,9.79539812032868e-7,0.002383368404953563,7482,dmt2,0,50,35,2,0,5
36,female,0.037730016519151276,9.075044945458354e-4,9.79539812032868e-7,0.002383368404953563,7482,dmt2,0,50,35,2,0,5
37,female,0.037730016519151276,9.075044945458354e-4,9.79539812032868e-7,0.002383368404953563,7482,dmt2,0,50,35,2,0,5
38,female,0.037730016519151276,9.075044945458354e-4,9.79539812032868e-7,0.002383368404953563,7482,dmt2,0,50,35,2,0,5
39,female,0.037730016519151276,9.075044945458354e-4,9.79539812032868e-7,0.002383368404953563,7482,dmt2,0,50,35,2,0,5
40,female,0.04246891921550439,0.0019762081848781177,1.4282919463947129e-6,0.0027740368257974006,6901,dmt2,0,50,40,2,0,5
41,female,0.04246891921550439,0.0019762081848781177,1.4282919463947129e-6,0.0027740368257974006,6901,dmt2,0,50,40,2,0,5
42,female,0.04246891921550439,0.0019762081848781177,1.4282919463947129e-6,0.0027740368257974006,6901,dmt2,0,50,40,2,0,5
43,female,0.04246891921550439,0.0019762081848781177,1.4282919463947129e-6,0.0027740368257974006,6901,dmt2,0,50,40,2,0,5
44,female,0.04246891921550439,0.0019762081848781177,1.4282919463947129e-6,0.0027740368257974006,6901,dmt2,0,50,40,2,0,5
45,female,0.0551817290905019,0.0038118572329630717,5.8044805043138576e-6,0.0037245353884808948,7531,dmt2,0,50,45,3,0,5
