age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_adod,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,female,0,1e-8,0,0,6598,adod,0,10,0,0,0,5
1,female,0,1e-8,0,0,6598,adod,0,10,0,0,0,5
2,female,0,1e-8,0,0,6598,adod,0,10,0,0,0,5
3,female,0,1e-8,0,0,6598,adod,0,10,0,0,0,5
4,female,0,1e-8,0,0,6598,adod,0,10,0,0,0,5
5,female,0,1e-8,0,0,6603,adod,0,10,5,0,0,5
6,female,0,1e-8,0,0,6603,adod,0,10,5,0,0,5
7,female,0,1e-8,0,0,6603,adod,0,10,5,0,0,5
8,female,0,1e-8,0,0,6603,adod,0,10,5,0,0,5
9,female,0,1e-8,0,0,6603,adod,0,10,5,0,0,5
10,female,0,1e-8,0,0,6051,adod,0,50,10,0,0,5
11,female,0,1e-8,0,0,6051,adod,0,50,10,0,0,5
12,female,0,1e-8,0,0,6051,adod,0,50,10,0,0,5
13,female,0,1e-8,0,0,6051,adod,0,50,10,0,0,5
14,female,0,1e-8,0,0,6051,adod,0,50,10,0,0,5
15,female,0,1e-8,0,0,6338,adod,0,50,15,0,0,5
16,female,0,1e-8,0,0,6338,adod,0,50,15,0,0,5
17,female,0,1e-8,0,0,6338,adod,0,50,15,0,0,5
18,female,0,1e-8,0,0,6338,adod,0,50,15,0,0,5
19,female,0,1e-8,0,0,6338,adod,0,50,15,0,0,5
20,female,0,1e-8,0,0,7828,adod,0,50,20,0,0,5
21,female,0,1e-8,0,0,7828,adod,0,50,20,0,0,5
22,female,0,1e-8,0,0,7828,adod,0,50,20,0,0,5
23,female,0,1e-8,0,0,7828,adod,0,50,20,0,0,5
24,female,0,1e-8,0,0,7828,adod,0,50,20,0,0,5
25,female,0,1e-8,0,0,8833,adod,0,50,25,0,0,5
26,female,0,1e-8,0,0,8833,adod,0,50,25,0,0,5
27,female,0,1e-8,0,0,8833,adod,0,50,25,0,0,5
28,female,0,1e-8,0,0,8833,adod,0,50,25,0,0,5
29,female,0,1e-8,0,0,8833,adod,0,50,25,0,0,5
